username,handle,postDate,responding,retweets,likes
#JusticiaParaGabi,@soyivankaa,2021-04-09T16:26:30.000Z,Acá una señora cree que la vacuna te transforma en robot y otra que el tapaboca te daña por el dióxido de carbono. QUEREMOS VACUNAS #ANRNuncaMas #FueraMarioAbdo #FreeBritney,,
patricio,@_patricioq,2021-04-06T04:41:07.000Z,vean mr robot,,1
nene,@neneguer,2021-04-05T18:02:12.000Z,"Replying to 
@pibedeamarillo
 and 
@mashable",,1
David Acosta,@Gronemancer,2021-04-03T17:43:25.000Z,"Replying to 
@elkballoloco
 @okiedge12
 and 
@CamiMosha",,
Octavio,@OctaMelga,2021-04-02T07:23:12.000Z,"Replying to 
@marcecardena8",,
𝑀𝑎𝑟,@soy_marchurodi,2021-03-25T23:25:57.000Z,Esta persona existe de verdad o es un robot? #mellos,,1
Juan José Pérez,@juanjoperez12,2021-03-25T18:16:32.000Z,"Profesor Hernán Acuña, entrenador de #FdodelaMora ""En Paraguay me entero que hay 2 clases de jugadores, los de la Primera son robots porqué no se pueden enfermar. Si parás 9 días que paren para todos, nadie es inmune. La Intermedia viene trabajando y nos hacen esto"" 
@1000_am",3,4
Berlug,@Berlug1,2021-03-12T00:41:53.000Z,"El mejor Robot del mundo 
#proudofKeremBürsin",2,
GUSARAM,@gustavoarambulo,2021-03-09T01:35:25.000Z,Somos no más luego bananeros..... este con su pasito de robot y Mandingo de fondo nos durmió al rollo ,,
David Maldonado,@DavidMald,2021-03-04T20:06:41.000Z,"Replying to 
@MICHIKATZE1",,2
Lida,@starstokarol,2021-02-27T19:48:15.000Z,Lo único que podría justificar el hecho de que Karol trabaja sin parar y sin descanso sin ser un robot es el amor que le tiene a su trabajo y lo mucho que le emociona darnos a conocer lo nuevo que se viene,,1
Evelyn,@evyibarracazal,2021-02-27T10:00:53.000Z,"Los Robots reemplazarán a los hombres en la cama en menos de 10 años,  Con el avance de la ciencia y la tecnología el hombre será reemplazado en la cama por un humanoide. ",,
Mirta Raquel,@raquelrodas,2021-02-22T21:58:03.000Z,"Replying to 
@tiatotaok",,1
¿Por qué es tendencia?,@tendenciaporque,2021-02-18T21:33:10.000Z,"""#CountdownToMars"":

Porque el robot explorador #Perseverance aterrizó en Marte.",4,45
Dani,@fdaniesquivel,2021-02-12T11:14:52.000Z,La concha de la lora google no soy robot ,,1
María Elena Quesada Seall,@SeallMaria,2021-02-09T22:38:22.000Z,"Replying to 
@ANDEOficial",,
