postDate,responding
2019-05-06T10:15:43.000Z,Mitic destinará más de US$ 45 millones a gastos de consultoría
2019-05-02T13:30:49.000Z,"Mañana viernes 3 de mayo del corriente, en sede del CAI del @mitic continuamos con este curso "
2019-04-16T13:56:31.000Z," #MediosDigitales del estado #VMCOM - #MITIC (@ Paraguay TV in Asunción, Central) https://swarmapp.com/c/fW1kxH8Y1BQ"
2019-04-09T21:04:12.000Z,"GABRIELA RATTI Directora General de Ciberseguridad y Protección de la información del MITIC. Ingeniera Electrónica, Master en Ciberseguridad y especialista en Peritaje Informático. Escuchala en MUJERES EN TECNOLOGÍA, el 10/04. Inscribíte gratis en https://bit.ly/2Hw1wr3"
2018-12-29T01:52:09.000Z,"#cenadefindeaño con  #Derlis,  @dolelizabeth y  #Rosana . #MediosDigitales  #Mitic  #haciendohistoria  por un  #ParaguaydelaGente  másen #realtime  y mejor… https://instagram.com/p/Br9BZL_Hc27/?utm_source=ig_twitter_share&igshid=1n4aww4ric755…"
2018-12-28T22:55:18.000Z,El Ministerio de Tecnologías de la Información y Comunicación (#MITIC) ofrece mensualmente de manera gratuita una serie de cursos presenciales y en línea que apuntan a desarrollar la economía digital.inscribite en http://cursos.gov.py/mitic y comenzá el año aprendiendo #MITIC
2018-12-28T18:02:51.000Z, #findeaño  #MediosDigitales #Mitic  @djvillalba @Dolelizabeth @brujitapy (@ Carlitos Way in Asunción) https://swarmapp.com/c/5sRvBppjRPb
2018-12-18T16:00:26.000Z,Esta mañana Presentamos el pedido de préstamo BID para la Agenda Digital Paraguay ante la comisión de presupuesto del Congreso Nacional. El préstamo es de 130M USD por 6 años de ejecución. #mitic
2018-12-12T21:53:43.000Z,"Felices de haber podido lanzar recientemente con el equipo Del Viceministerio TIC, uno de nuestros primeros productos al servicio de la ciudadanía. Desarrollamos para BECAL un buscador de talentos en el que se podrá conocer mejor a los ex becarios y su formación académica. #mitic"
2018-12-12T12:38:01.000Z,Esta mañana recibimos del presidente de FEPASA la entrega oficial de la llave de la estación para que arranquemos con nuestro proyecto de “Polo económico creativo digital en Aregua”. Muy pronto verás la estación con mucha vida! #mitic
2018-12-05T16:34:14.000Z,Ahora esperemos un apoyo tangible. El discurso de apoyo a la innovación y las startups ya lo escuchamos antes. El único recurso que veo tiene el MITIC para apoyar es proponer un marco regulatorio que no deje en grises la legitimidad de emprendimientos disruptivos como este.
2018-12-03T16:43:46.000Z,"El viernes pasado en Santa Rosa misiones fuimos a reconocer a dos alumnas capisimas que desarrollaron un juego sobre una problemática que afecta a la sostenibilidad ambiental de su comunidad. Para concienciar a los demás niños, decidieron desarrollar un juego! #mitic"
2018-12-01T11:30:33.000Z,Los hacemos para vos! Aprovecha nuestros nuevos cursos Gratuitos!! Además con certificación #mitic
2018-11-22T22:52:58.000Z,Impresionados con toda la innovación y aportes recibidos por los equipos participantes en nuestro concurso de ideas tecnológicas para el diseño de nuestro futuro infocentro tecnológico! #Mitic
2018-09-13T11:05:08.000Z,Ver Pyto. de Ley #MITIC http://silpy.congreso.gov.py/descarga/dictamencomision-409772…@sebagar8 @LUISURBIETA1 @carlitosrejala @SorokaColym @mmartinpy @ocamposdavid @SENATICs @sicompy
2018-08-25T15:43:46.000Z,Recomendadísima esta charla magistral de los ninjas @angatupyrytau y @martinezjavier  https://youtu.be/jD1zaGIorJ4 #linux #mitic
2018-08-14T16:29:58.000Z,"*ésta* es la comunicación en el siglo XXI, éste tipo de iniciativas son las que se van a coordinar entre el Viceministerio de TICs y el de Comunicación en el #mitic compartiendo talento caro y difícil de conseguir https://t.co/KFpifBkkpz"
