username,handle,postDate,responding,retweets,likes
marcelo,@orrtizdavid,2021-07-30T20:37:26.000Z,"Imaginate ser un bachiller, ganar 12.500.000 en el Mitic y encima tener que pagarle sueldo mínimo a la empleada doméstica. No hay derecho, lo único que falta es que le obliguen a ponerle IPS también, estamos todos locos.",,6
Pablo ¯\_(ツ)_/¯,@p431i7o,2021-07-23T21:55:16.000Z,"Replying to 
@melizeche
 and 
@aagripinaa",,1
Mark Meyer,@markimeyer,2021-07-19T16:42:11.000Z,"Replying to 
@titevera
 @Miticpy
 and 2 others",,
Federico Osorio,@federicoosorio7,2021-06-30T20:13:40.000Z,"@mitic
 @SenadoresPy
 @DiputadosPy
 @MaritoAbdo
 @PresidenciaPy
 El problema no es MITIC como Institución. Ambas alas: la Tecnología y la Comunicación van de la mano. Y más en el tiempo que vivimos: Transmisión efectiva. El problema es otro y lo afirmo con todas las letras.",1,3
Marco,@marcokuriju,2021-06-24T13:10:42.000Z,"Replying to 
@contralorespy
 @jpferbo
 and 9 others",1,
Ana Claudia Rivas,@anaclau_rivas,2021-06-08T15:01:30.000Z,Loable su buena intención! Le banco! El Mitic lo que no tenía una buena estrategia de comunicación  https://twitter.com/larebelco/status/1402258140494696451…,1,9
Liv,@livmediapy,2021-05-27T16:04:17.000Z,Asume el nuevo director de Mitic Fernando Saguier Caballero.,,
Diego Bazán,@diegovbazan,2021-03-22T11:49:03.000Z,"Replying to 
@natienciso",,1
Mariano,@Mariano31975056,2021-03-10T23:49:44.000Z,"Y que esperamos de Brunetti en el MEC ?, nada, el que fué asesor, luego precandidato a intendente, cambió eso por MITIC y antes de trabajar, pasa al MEC, es algo asi como un funcionario polifuncional, donde falta alguién lo lleva",,2
Mariano,@Mariano31975056,2021-03-10T19:29:42.000Z,"Replying to 
@bellotahu",,1
Chiqui Avalos,@chiqui_avalos,2021-03-10T19:22:59.000Z,"Hijo de Bernardo Saguer C ( Itaipu), mano derecha de JUSTO CARDENAS (Indert), concedio miles de pozos que no se hicieron (Jose Martinez, BUNQUERS) designado interino del.MITIC.
QUIEN LOS ELIGE?",76,73
